id,uri,label
1317a0d18e1786a96fb2.txt,001/HOUSE_OVERSIGHT_010486.txt,Network & Relationship Mapping
1317a0d18e1786a96fb2.txt,001/HOUSE_OVERSIGHT_010486.txt,Timeline Reconstruction
1317a0d18e1786a96fb2.txt,001/HOUSE_OVERSIGHT_010486.txt,Legal Strategy Indicators
1317a0d18e1786a96fb2.txt,001/HOUSE_OVERSIGHT_010486.txt,Recruitment & Grooming Patterns
1317a0d18e1786a96fb2.txt,001/HOUSE_OVERSIGHT_010486.txt,Institutional Interfaces
1317a0d18e1786a96fb2.txt,001/HOUSE_OVERSIGHT_010486.txt,Logistical Infrastructure
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Network & Relationship Mapping
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Timeline Reconstruction
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Financial Patterns
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Legal Strategy Indicators
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Logistical Infrastructure
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Recruitment & Grooming Patterns
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Communications Analysis
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Document Consistency Checks
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Institutional Interfaces
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Evidence Integrity & Provenance
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Media Strategy & Public Relations
06b24020d6a4b97cd66a.txt,001/HOUSE_OVERSIGHT_010566.txt,Victim Support Structures
5681ebe7165855b2341a.txt,001/HOUSE_OVERSIGHT_010609.txt,Timeline Reconstruction
5681ebe7165855b2341a.txt,001/HOUSE_OVERSIGHT_010609.txt,Legal Strategy Indicators
5681ebe7165855b2341a.txt,001/HOUSE_OVERSIGHT_010609.txt,Recruitment & Grooming Patterns
5681ebe7165855b2341a.txt,001/HOUSE_OVERSIGHT_010609.txt,Institutional Interfaces
5681ebe7165855b2341a.txt,001/HOUSE_OVERSIGHT_010609.txt,Network & Relationship Mapping
123cfd51224d94e7fd49.txt,001/HOUSE_OVERSIGHT_010732.txt,Legal Strategy Indicators
123cfd51224d94e7fd49.txt,001/HOUSE_OVERSIGHT_010732.txt,Institutional Interfaces
7b45dcf7ff3f66cd7bd7.txt,001/HOUSE_OVERSIGHT_010757.txt,Network & Relationship Mapping
7b45dcf7ff3f66cd7bd7.txt,001/HOUSE_OVERSIGHT_010757.txt,Legal Strategy Indicators
7b45dcf7ff3f66cd7bd7.txt,001/HOUSE_OVERSIGHT_010757.txt,Communications Analysis
7b45dcf7ff3f66cd7bd7.txt,001/HOUSE_OVERSIGHT_010757.txt,Recruitment & Grooming Patterns
7b45dcf7ff3f66cd7bd7.txt,001/HOUSE_OVERSIGHT_010757.txt,Logistical Infrastructure
7b45dcf7ff3f66cd7bd7.txt,001/HOUSE_OVERSIGHT_010757.txt,Document Consistency Checks
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Network & Relationship Mapping
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Timeline Reconstruction
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Legal Strategy Indicators
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Logistical Infrastructure
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Recruitment & Grooming Patterns
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Document Consistency Checks
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Institutional Interfaces
87d5c37a36fa6f63aceb.txt,001/HOUSE_OVERSIGHT_010887.txt,Media Strategy & Public Relations
9414459d6c5287885014.txt,001/HOUSE_OVERSIGHT_011170.txt,Timeline Reconstruction
9414459d6c5287885014.txt,001/HOUSE_OVERSIGHT_011170.txt,Legal Strategy Indicators
9414459d6c5287885014.txt,001/HOUSE_OVERSIGHT_011170.txt,Recruitment & Grooming Patterns
9414459d6c5287885014.txt,001/HOUSE_OVERSIGHT_011170.txt,Institutional Interfaces
e0a7130c5b95863219ad.txt,001/HOUSE_OVERSIGHT_011277.txt,Network & Relationship Mapping
e0a7130c5b95863219ad.txt,001/HOUSE_OVERSIGHT_011277.txt,Institutional Interfaces
e0a7130c5b95863219ad.txt,001/HOUSE_OVERSIGHT_011277.txt,Communications Analysis
e0a7130c5b95863219ad.txt,001/HOUSE_OVERSIGHT_011277.txt,Financial Patterns
a5a53a620be2d7497f07.txt,001/HOUSE_OVERSIGHT_011280.txt,Network & Relationship Mapping
a5a53a620be2d7497f07.txt,001/HOUSE_OVERSIGHT_011280.txt,Timeline Reconstruction
a5a53a620be2d7497f07.txt,001/HOUSE_OVERSIGHT_011280.txt,Financial Patterns
ecd328eb350d91e598ca.txt,001/HOUSE_OVERSIGHT_011304.txt,Legal Strategy Indicators
ecd328eb350d91e598ca.txt,001/HOUSE_OVERSIGHT_011304.txt,Media Strategy & Public Relations
ecd328eb350d91e598ca.txt,001/HOUSE_OVERSIGHT_011304.txt,Document Consistency Checks
767d2ad505ecf92fc3da.txt,001/HOUSE_OVERSIGHT_011463.txt,Legal Strategy Indicators
767d2ad505ecf92fc3da.txt,001/HOUSE_OVERSIGHT_011463.txt,Document Consistency Checks
767d2ad505ecf92fc3da.txt,001/HOUSE_OVERSIGHT_011463.txt,Evidence Integrity & Provenance
ed87cb768e461c714263.txt,001/HOUSE_OVERSIGHT_011472.txt,Timeline Reconstruction
ed87cb768e461c714263.txt,001/HOUSE_OVERSIGHT_011472.txt,Legal Strategy Indicators
ed87cb768e461c714263.txt,001/HOUSE_OVERSIGHT_011472.txt,Recruitment & Grooming Patterns
ed87cb768e461c714263.txt,001/HOUSE_OVERSIGHT_011472.txt,Network & Relationship Mapping
ed87cb768e461c714263.txt,001/HOUSE_OVERSIGHT_011472.txt,Institutional Interfaces
f23ea7c7dd4834976428.txt,001/HOUSE_OVERSIGHT_011904.txt,Network & Relationship Mapping
f23ea7c7dd4834976428.txt,001/HOUSE_OVERSIGHT_011904.txt,Timeline Reconstruction
f23ea7c7dd4834976428.txt,001/HOUSE_OVERSIGHT_011904.txt,Communications Analysis
f23ea7c7dd4834976428.txt,001/HOUSE_OVERSIGHT_011904.txt,Institutional Interfaces
b63f55d308acf652322c.txt,001/HOUSE_OVERSIGHT_011907.txt,Network & Relationship Mapping
b63f55d308acf652322c.txt,001/HOUSE_OVERSIGHT_011907.txt,Communications Analysis
b63f55d308acf652322c.txt,001/HOUSE_OVERSIGHT_011907.txt,Media Strategy & Public Relations
5d5d25188fd30641fc65.txt,001/HOUSE_OVERSIGHT_011908.txt,Legal Strategy Indicators
5d5d25188fd30641fc65.txt,001/HOUSE_OVERSIGHT_011908.txt,Financial Patterns
5d5d25188fd30641fc65.txt,001/HOUSE_OVERSIGHT_011908.txt,Media Strategy & Public Relations
5d5d25188fd30641fc65.txt,001/HOUSE_OVERSIGHT_011908.txt,Institutional Interfaces
5d5d25188fd30641fc65.txt,001/HOUSE_OVERSIGHT_011908.txt,Network & Relationship Mapping
5d5d25188fd30641fc65.txt,001/HOUSE_OVERSIGHT_011908.txt,Recruitment & Grooming Patterns
ea9f6eee147c1b7c3b1c.txt,001/HOUSE_OVERSIGHT_012037.txt,Network & Relationship Mapping
ea9f6eee147c1b7c3b1c.txt,001/HOUSE_OVERSIGHT_012037.txt,Media Strategy & Public Relations
ea9f6eee147c1b7c3b1c.txt,001/HOUSE_OVERSIGHT_012037.txt,Legal Strategy Indicators
1adb991e401cca4746ca.txt,001/HOUSE_OVERSIGHT_012044.txt,Network & Relationship Mapping
1adb991e401cca4746ca.txt,001/HOUSE_OVERSIGHT_012044.txt,Timeline Reconstruction
1adb991e401cca4746ca.txt,001/HOUSE_OVERSIGHT_012044.txt,Financial Patterns
1adb991e401cca4746ca.txt,001/HOUSE_OVERSIGHT_012044.txt,Institutional Interfaces
1adb991e401cca4746ca.txt,001/HOUSE_OVERSIGHT_012044.txt,Communications Analysis
a72bd35bd83f4ed7c022.txt,001/HOUSE_OVERSIGHT_012102.txt,Network & Relationship Mapping
a72bd35bd83f4ed7c022.txt,001/HOUSE_OVERSIGHT_012102.txt,Communications Analysis
3cfcf3ab322d6d40f299.txt,001/HOUSE_OVERSIGHT_012130.txt,Legal Strategy Indicators
3cfcf3ab322d6d40f299.txt,001/HOUSE_OVERSIGHT_012130.txt,Institutional Interfaces
3cfcf3ab322d6d40f299.txt,001/HOUSE_OVERSIGHT_012130.txt,Evidence Integrity & Provenance
3cfcf3ab322d6d40f299.txt,001/HOUSE_OVERSIGHT_012130.txt,Document Consistency Checks
3cfcf3ab322d6d40f299.txt,001/HOUSE_OVERSIGHT_012130.txt,Media Strategy & Public Relations
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Legal Strategy Indicators
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Timeline Reconstruction
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Institutional Interfaces
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Evidence Integrity & Provenance
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Document Consistency Checks
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Media Strategy & Public Relations
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Victim Support Structures
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Logistical Infrastructure
b6300b804cb02c336a3f.txt,001/HOUSE_OVERSIGHT_012135.txt,Recruitment & Grooming Patterns
3523cf943b034389fe45.txt,001/HOUSE_OVERSIGHT_012722.txt,Network & Relationship Mapping
3523cf943b034389fe45.txt,001/HOUSE_OVERSIGHT_012722.txt,Timeline Reconstruction
3523cf943b034389fe45.txt,001/HOUSE_OVERSIGHT_012722.txt,Legal Strategy Indicators
3523cf943b034389fe45.txt,001/HOUSE_OVERSIGHT_012722.txt,Recruitment & Grooming Patterns
3523cf943b034389fe45.txt,001/HOUSE_OVERSIGHT_012722.txt,Institutional Interfaces
3a820400f89941e52a3c.txt,001/HOUSE_OVERSIGHT_013437.txt,Network & Relationship Mapping
3a820400f89941e52a3c.txt,001/HOUSE_OVERSIGHT_013437.txt,Recruitment & Grooming Patterns
3a820400f89941e52a3c.txt,001/HOUSE_OVERSIGHT_013437.txt,Evidence Integrity & Provenance
3a820400f89941e52a3c.txt,001/HOUSE_OVERSIGHT_013437.txt,Legal Strategy Indicators
c69e486c06365c136f76.txt,001/HOUSE_OVERSIGHT_013501.txt,Timeline Reconstruction
c69e486c06365c136f76.txt,001/HOUSE_OVERSIGHT_013501.txt,Legal Strategy Indicators
c69e486c06365c136f76.txt,001/HOUSE_OVERSIGHT_013501.txt,Recruitment & Grooming Patterns
c69e486c06365c136f76.txt,001/HOUSE_OVERSIGHT_013501.txt,Institutional Interfaces
c69e486c06365c136f76.txt,001/HOUSE_OVERSIGHT_013501.txt,Network & Relationship Mapping
0a7dcf18263d11439b45.txt,001/HOUSE_OVERSIGHT_014037.txt,Legal Strategy Indicators
0a7dcf18263d11439b45.txt,001/HOUSE_OVERSIGHT_014037.txt,Institutional Interfaces
0a7dcf18263d11439b45.txt,001/HOUSE_OVERSIGHT_014037.txt,Victim Support Structures
